PERIOD_LABEL,CATEGORY,SALES_DOLLARS,UNITS
Prior YTD,Apparel,11377913.96,2035012.0
Prior YTD,Wares,6952972.91,1975911.0
Prior YTD,Shoes,1394242.1,162925.0
Prior YTD,Accessories,1178919.46,249248.0
Prior YTD,Electrical,1164314.15,141781.0
Prior YTD,Children,1132854.94,421404.0
Prior YTD,Books/Media,785615.29,312190.0
Prior YTD,Furniture,766313.97,55386.0
Prior YTD,NG Candy,136957.2,80961.0
Prior YTD,Closeouts,135810.1,22018.0
Prior YTD,NG Beverages,75844.66,45210.0
Prior YTD,Wired Up,50105.8,3059.0
Prior YTD,New Goods,43607.57,21714.0
Prior YTD,NG Seasonal,40919.69,23363.0
Prior YTD,NG Food,33851.04,20773.0
Prior YTD,NG Misc,30905.66,17887.0
Prior YTD,NG Kitchen,22598.97,13351.0
Prior YTD,NG Premium,15796.78,3724.0
Prior YTD,NG Cleaning Supplies,13958.75,8282.0
Prior YTD,NG Sustainability,12870.21,1608.0
Prior YTD,NG Healthcare,11652.9,6966.0
Prior YTD,NG Accessories,10361.86,6072.0
Prior YTD,NG Beauty Supplies,7945.42,4554.0
Prior YTD,NG Bath,5886.39,3421.0
Prior YTD,NG Bags,5791.36,6629.0
Prior YTD,NG Outdoors,5032.7,3000.0
Prior YTD,NG Electrical,3533.13,2084.0
Prior YTD,NG School Supply,1468.11,849.0
Prior YTD,NG Home Decor,1255.91,738.0
Prior YTD,NG Domestic,1136.24,382.0
Prior YTD,NG Apparel,499.12,293.0
Prior YTD,Jewelry,136.16,28.0
Prior YTD,NG Spring,23.73,14.0
Prior YTD,Good Points,-465865.0,88825.0
YTD,Apparel,12446112.7,2153080.0
YTD,Wares,7871385.44,2247755.0
YTD,Shoes,1349584.05,164637.0
YTD,Children,1266578.37,452199.0
YTD,Electrical,1190871.91,159265.0
YTD,Accessories,1090272.17,274454.0
YTD,Furniture,814684.65,62962.0
YTD,Books/Media,653588.05,301901.0
YTD,NG Candy,166656.96,98322.0
YTD,NG Premium,134624.72,23471.0
YTD,NG Beverages,89876.6,58480.0
YTD,NG Food,57149.11,47293.0
YTD,Wired Up,51824.77,3620.0
YTD,New Goods,41957.69,20846.0
YTD,NG Bags,36805.52,41654.0
YTD,NG Misc,34652.1,20155.0
YTD,Closeouts,33009.99,7347.0
YTD,NG Sustainability,16450.81,2009.0
YTD,NG Beauty Supplies,10776.75,6049.0
YTD,NG Cleaning Supplies,9373.37,5603.0
YTD,NG Simply Eyewear,8855.43,1405.0
YTD,NG Kitchen,8494.28,4730.0
YTD,NG Healthcare,7945.06,4641.0
YTD,NG Simply Jewelry,6913.7,1524.0
YTD,NG Electrical,5775.38,3367.0
YTD,NG Accessories,4746.32,2778.0
YTD,NG Bath,4463.09,2619.0
YTD,NG Outdoors,4198.47,2509.0
YTD,NG Simply Greeting Cards,3933.47,1533.0
YTD,NG School Supply,2619.44,1552.0
YTD,NG Seasonal,2125.59,581.0
YTD,NG PREMIUM,1158.38,235.0
YTD,NG Spring,509.36,294.0
YTD,Jewelry,369.66,79.0
YTD,NG Domestic,202.33,38.0
YTD,NG Home Decor,66.08,40.0
YTD,NG Apparel,50.55,32.0
