KIND,PERIOD_LABEL,CATEGORY,VALUE,TONS,PICKUPS,DONORS,TRASH_LBS_PER_DONOR,TONS_PER_PULL,VENDOR,LOCATION
LOCATION,Prior YTD," Canton, OH",102523.46,1233.7300,171.0000,,None,7.2147953216,None," Canton, OH"
LOCATION,Prior YTD," Cleveland, OH",75358.91,861.0300,141.0000,,None,6.1065957447,None," Cleveland, OH"
LOCATION,Prior YTD," North Canton, OH",24375.19,291.4000,45.0000,,None,6.4755555556,None," North Canton, OH"
LOCATION,Prior YTD," Chardon, OH",17747.48,197.9600,35.0000,,None,5.6560000000,None," Chardon, OH"
LOCATION,Prior YTD," Middleburg Heights, OH",14754.74,181.7700,27.0000,,None,6.7322222222,None," Middleburg Heights, OH"
LOCATION,Prior YTD," Painesville, OH",13979.77,141.4900,235.0000,,None,0.6020851064,None," Painesville, OH"
LOCATION,Prior YTD," Mayfield Heights, OH",13924.01,137.5200,29.0000,,None,4.7420689655,None," Mayfield Heights, OH"
LOCATION,Prior YTD," Willowick, OH",11959.69,123.4200,25.0000,,None,4.9368000000,None," Willowick, OH"
LOCATION,Prior YTD," University Heights, OH",10807.61,129.0700,21.0000,,None,6.1461904762,None," University Heights, OH"
LOCATION,Prior YTD," North Olmsted, OH",10537.46,133.9700,19.0000,,None,7.0510526316,None," North Olmsted, OH"
LOCATION,Prior YTD," Strongsville, OH",7921.28,97.7200,15.0000,,None,6.5146666667,None," Strongsville, OH"
LOCATION,Prior YTD," Massillon, OH",5107.98,61.6500,10.0000,,None,6.1650000000,None," Massillon, OH"
LOCATION,Prior YTD," New Philadelphia, OH",5014.69,63.9300,9.0000,,None,7.1033333333,None," New Philadelphia, OH"
LOCATION,Prior YTD," Alliance, OH",4487.49,61.6000,7.0000,,None,8.8000000000,None," Alliance, OH"
LOCATION,Prior YTD," Brookpark, OH",3597.58,43.6000,7.0000,,None,6.2285714286,None," Brookpark, OH"
SUMMARY,Prior YTD,Total,322097.34,3759.8600,796.0000,847076.0,8.8772672110,4.7234422111,None,None
VENDOR,Prior YTD,REPUBLIC SERVICES,322097.34,3759.8600,796.0000,,None,4.7234422111,REPUBLIC SERVICES,None
LOCATION,YTD," Cleveland, OH",62299.78,643.9700,103.0000,,None,6.2521359223,None," Cleveland, OH"
LOCATION,YTD," Canton, OH",53648.53,602.1400,89.0000,,None,6.7656179775,None," Canton, OH"
LOCATION,YTD," North Canton, OH",27960.49,317.2300,54.0000,,None,5.8746296296,None," North Canton, OH"
LOCATION,YTD," Mayfield Heights, OH",8905.35,75.0400,22.0000,,None,3.4109090909,None," Mayfield Heights, OH"
LOCATION,YTD," Chardon, OH",8072.90,61.0000,22.0000,,None,2.7727272727,None," Chardon, OH"
LOCATION,YTD," Middleburg Heights, OH",6977.43,82.1700,13.0000,,None,6.3207692308,None," Middleburg Heights, OH"
LOCATION,YTD," Painesville, OH",6850.01,70.9200,13.0000,,None,5.4553846154,None," Painesville, OH"
LOCATION,YTD," Willowick, OH",6212.27,72.8800,10.0000,,None,7.2880000000,None," Willowick, OH"
LOCATION,YTD," North Olmsted, OH",6113.72,78.1600,10.0000,,None,7.8160000000,None," North Olmsted, OH"
LOCATION,YTD," University Heights, OH",5482.12,49.4200,14.0000,,None,3.5300000000,None," University Heights, OH"
LOCATION,YTD," New Philadelphia, OH",4736.06,58.4700,8.0000,,None,7.3087500000,None," New Philadelphia, OH"
LOCATION,YTD," Brookpark, OH",4619.40,53.2600,9.0000,,None,5.9177777778,None," Brookpark, OH"
LOCATION,YTD," Alliance, OH",4010.47,48.0900,7.0000,,None,6.8700000000,None," Alliance, OH"
LOCATION,YTD," Massillon, OH",3914.59,38.3800,9.0000,,None,4.2644444444,None," Massillon, OH"
LOCATION,YTD," Strongsville, OH",2962.81,32.8700,6.0000,,None,5.4783333333,None," Strongsville, OH"
LOCATION,YTD,"Goodwill Ind Of E Central Ohio 709 Canton Rd NW Carrollton, OH 44615-9447",633.58,0.0000,0.0000,,None,None,None,"Goodwill Ind Of E Central Ohio 709 Canton Rd NW Carrollton, OH 44615-9447"
LOCATION,YTD,Unassigned,0.00,8.2800,0.0000,,None,None,None,Unassigned
SUMMARY,YTD,Total,213399.51,2292.2800,389.0000,827228.0,5.5420754617,5.8927506427,None,None
VENDOR,YTD,REPUBLIC SERVICES,212765.93,2284.0000,389.0000,,None,5.8714652956,REPUBLIC SERVICES,None
VENDOR,YTD,"KIMBLE RECYCLING & DISPOSAL, INC.",633.58,0.0000,0.0000,,None,None,"KIMBLE RECYCLING & DISPOSAL, INC.",None
VENDOR,YTD,KIMBLE,0.00,8.2800,0.0000,,None,None,KIMBLE,None
